x,y,time,TAG,res_time
649505.508883691,5901925.89136686,1598267791,31001001060,5.6969030380249
649502.834429938,5901926.01398438,1598267792,31001001060,5.67687469720841
649500.004011591,5901927.88273273,1598267793,31001001060,5.63386446634928
649495.598705298,5901929.46230441,1598267794,31001001060,5.57009164492289
649492.591608947,5901929.46230441,1598267795,31001001060,5.54562151829402
649492.591608947,5901930.28870474,1598267796,31001001060,5.54743528763453
649487.771988311,5901930.98298629,1598267797,31001001060,5.49169990221659
649484.000979299,5901931.85391359,1598267798,31001001060,5.47011832396189
649480.565516371,5901933.6914221,1598267799,31001001060,5.45364507039388
649477.696518618,5901935.3167616,1598267800,31001001060,5.45324128866196
649476.951951363,5901935.68624274,1598267801,31001001060,5.45262378851573
649472.004776069,5901939.02267718,1598267802,31001001060,5.38304133812587
649468.828637043,5901939.02267718,1598267803,31001001060,5.33408483266831
649462.870731382,5901939.02267718,1598267804,31001001060,5.28955605427424
649460.032233994,5901939.02267718,1598267805,31001001060,5.29195920228958
649457.406512396,5901939.1442257,1598267806,31001001060,5.28670111497243
649451.814347062,5901939.1442257,1598267807,31001001060,5.18155554930369
649447.078842462,5901939.34618715,1598267808,31001001060,5.14686864217122
649445.177539339,5901942.56548691,1598267809,31001001060,5.12146861155828
649441.400482544,5901944.25452002,1598267810,31001001060,5.1079229036967
649433.624366783,5901944.25452002,1598267811,31001001060,5.00855645338694
649429.742858962,5901944.25452002,1598267812,31001001060,4.99477579991023
649427.353891768,5901944.25452002,1598267813,31001001060,4.95401395956675
649422.920256391,5901944.42711044,1598267814,31001001060,4.93086759646734
649418.618939425,5901945.74057292,1598267815,31001001060,4.88164966503779
649407.937991267,5901945.74057292,1598267816,31001001060,4.81427969932556
649407.002186937,5901946.65950482,1598267817,31001001060,4.81485018730164
649399.721359634,5901946.72859496,1598267818,31001001060,4.74413411617279
649395.267888522,5901955.58055235,1598267819,31001001060,4.72817399104436
649394.419230635,5901955.6124484,1598267820,31001001060,4.73481308221817
649374.233777208,5901958.37050573,1598267823,31001001060,4.61894518534342
649371.286397485,5901958.37050573,1598267824,31001001060,4.60851147174835
649359.720194664,5901960.21855694,1598267825,31001001060,4.44905547698339
649354.702544457,5901961.09270478,1598267826,31001001060,4.42276442845662
649349.612790277,5901965.44619402,1598267827,31001001060,4.38592249949773
649340.91059429,5901966.16431189,1598267828,31001001060,4.31286297639211
649340.532015133,5901967.15158871,1598267829,31001001060,4.31288987398148
649337.571149693,5901968.19183415,1598267830,31001001060,4.30546803871791
