X,Y,Species,Cluster_ID
258422,769323,Melia azedarach,60
258436,769308,Melia azedarach,60
258434,769308,Carob,22
258403,769334,Melia azedarach,60
258403,769350,Melia azedarach,60
258418,769347,Melia azedarach,60
258423,769345,Melia azedarach,60
258451,769332,Melia azedarach,60
258537,769390,Mulberry,26
258544,769478,Carob,21
258469,769606,Ficus carica,68
258559,769255,Ficus carica,69
258539,769258,Melia azedarach,61
258520,769266,Melia azedarach,61
258517,769271,Ficus carica,70
258484,769264,Ficus carica,70
258497,769258,Melia azedarach,61
258504,769258,Melia azedarach,61
258497,769251,Melia azedarach,61
258492,769243,Ficus carica,70
258514,769242,Melia azedarach,61
258536,769218,Melia azedarach,61
258498,769169,Melia azedarach,62
258502,769155,Melia azedarach,62
258492,769158,Melia azedarach,62
258444,769160,Melia azedarach,63
258425,769169,Carob,23
258439,769195,Carob,23
258469,769249,Melia azedarach,61
258476,769240,Melia azedarach,61
258489,769267,Ficus carica,70
258458,769232,Carob,24
258408,769267,Loquat,36
258386,769304,Guava,20
258380,769315,Ficus carica,71
258372,769306,Date palm,14
258380,769295,Annona,6
258352,769295,Loquat,37
258330,769318,Loquat,37
258327,769322,Guava,21
258316,769339,Loquat,37
258317,769379,Carob,25
258208,769312,Ficus carica,72
258101,769314,Carob,26
258106,769301,Surinam Cherry,7
258118,769301,Ficus carica,73
258132,769301,Carob,26
258127,769299,Annona,7
258138,769292,Loquat,38
258148,769281,Carob,26
258291,769320,Loquat,37
258366,769282,Surinam Cherry,8
258380,769271,Ficus carica,74
258411,769265,Melia azedarach,64
258400,769241,Loquat,36
258394,769254,Loquat,36
258378,769254,Loquat,36
258363,769256,Ficus carica,74
258346,769248,Loquat,36
258282,769255,Melia azedarach,65
258279,769255,Loquat,39
258254,769263,Date palm,15
258355,769235,Annona,8
258364,769224,Pear,1
258392,769199,Guava,22
258391,769200,Mango,14
258389,769195,Loquat,40
258388,769197,Annona,9
258375,769186,Loquat,40
258380,769180,Ficus carica,75
258372,769169,Washingtonia,53
258343,769180,Palm,27
258347,769165,Ficus carica,75
258329,769206,Washingtonia,54
258332,769206,Date palm,16
258333,769208,Loquat,41
258288,769161,Loquat,42
258288,769157,Ficus carica,76
258291,769159,Palm,28
258301,769146,Loquat,42
258181,769152,Avocado,8
258161,769146,Washingtonia,55
258084,769190,Carob,27
258090,769192,Carob,27
258131,769198,Guava,23
258129,769201,Ficus carica,77
258131,769203,Loquat,43
258146,769209,Mango,15
258156,769209,Loquat,43
258159,769209,Annona,10
258148,769207,Ficus carica,77
258173,769170,Mango,16
258176,769170,Annona,11
258172,769170,Guava,24
258184,769161,Loquat,44
258249,769181,Loquat,45
258224,769189,Loquat,45
258142,769222,Loquat,43
258078,769242,Carob,28
258076,769247,Carob,28
258123,769257,Surinam Cherry,9
258046,769282,Carob,28
258051,769267,Carob,28
258025,769258,Ficus carica,78
258017,769230,Carob,14
258315,769030,Carob,29
258307,769058,Carob,29
258323,769026,Carob,29
258304,769074,Carob,29
258303,769080,Carob,29
258299,769104,Carob,29
258114,769149,Carob,30
257800,769387,Melia azedarach,47
257774,769374,Melia azedarach,47
257749,769349,Melia azedarach,47
257713,769336,Carob,31
257707,769325,Carob,31
257699,769322,Carob,31
257691,769318,Carob,31
257683,769318,Carob,31
257668,769312,Carob,31
257662,769320,Carob,31
257501,769273,Carob,32
257498,769282,Carob,32
257514,769288,Carob,32
257514,769284,Carob,32
257515,769265,Carob,32
257517,769260,Carob,32
257520,769262,Carob,32
257520,769264,Carob,32
257519,769271,Carob,32
257531,769280,Carob,32
257548,769280,Carob,32
257568,769291,Carob,32
257562,769275,Carob,32
257561,769277,Carob,32
257559,769275,Carob,32
257554,769275,Carob,32
257547,769275,Carob,32
257539,769273,Carob,32
257534,769273,Carob,32
257525,769271,Carob,32
253709,772405,Washingtonia,56
253712,772405,Melia azedarach,66
253728,772401,Cherry plum,3
253742,772407,Cherry plum,3
253720,772418,Melia azedarach,66
253711,772423,Melia azedarach,66
253697,772425,Mulberry,27
253689,772421,Mulberry,27
253692,772421,Melia azedarach,66
253684,772412,Melia azedarach,66
253683,772403,Melia azedarach,66
253691,772390,Melia azedarach,66
253691,772388,Washingtonia,56
253686,772390,Carob,33
253641,772425,Melia azedarach,67
253644,772425,Carob,34
253647,772388,Washingtonia,57
253725,772379,Cherry plum,3
253742,772368,Cherry plum,3
253605,772386,Washingtonia,58
253435,772380,Washingtonia,59
253440,772422,Mulberry,28
253406,772404,Guava,25
253401,772391,Mulberry,29
253393,772389,Ficus benjamina,16
253396,772389,Ficus microcarpa,8
253409,772376,Mulberry,29
253407,772374,Mulberry,29
253397,772376,Mulberry,29
253400,772376,Melia azedarach,68
253450,772363,Melia azedarach,69
253384,772365,Loquat,46
253387,772365,Guava,26
253383,772367,Ficus carica,79
253372,772361,Melia azedarach,68
253372,772332,Mulberry,30
253375,772332,Washingtonia,60
253373,772328,Mulberry,30
253373,772322,Washingtonia,60
253395,772297,Date palm,17
253408,772304,Washingtonia,60
253411,772304,Mango,17
253407,772304,Ficus carica,80
253419,772295,Washingtonia,60
253416,772284,Washingtonia,60
253420,772293,Washingtonia,60
253426,772304,Mulberry,31
253426,772300,Washingtonia,60
253440,772304,Mulberry,31
253433,772289,Mulberry,31
253436,772289,Melia azedarach,70
253431,772284,Mulberry,31
253439,772282,Mulberry,31
253451,772276,Washingtonia,60
253454,772276,Apple,1
253461,772269,Mulberry,31
253451,772304,Mulberry,31
253392,772291,Mulberry,31
253392,772280,Date palm,17
253391,772274,Washingtonia,60
253394,772267,Loquat,47
253397,772261,Palm,29
253400,772261,Mulberry,31
253428,772252,Ficus carica,81
253434,772238,Palm,30
253438,772232,Guava,27
253461,772232,Ficus benjamina,17
253515,772229,Mulberry,32
253515,772251,Pear,2
253512,772258,Guava,28
253493,772254,Guava,28
253496,772254,Ficus carica,82
253495,772230,Mulberry,32
253465,772256,Ficus benjamina,17
253406,772234,Melia azedarach,71
253413,772217,Ficus benjamina,18
253436,772210,Loquat,48
253433,772210,Loquat,48
253449,772190,Washingtonia,61
253477,772191,Washingtonia,61
253483,772197,Mulberry,32
253462,772212,Mulberry,32
253483,772191,Ficus carica,83
253475,772193,Ficus benjamina,17
253470,772191,Ficus benjamina,17
253447,772195,Ficus benjamina,17
253436,772177,Ficus carica,84
253441,772167,Ficus microcarpa,9
253442,772162,Ficus benjamina,17
253489,772143,Washingtonia,62
253491,772142,Mulberry,33
253494,772142,Ficus carica,85
253453,772140,Melia azedarach,72
253466,772106,Washingtonia,63
253492,772097,Mulberry,34
253495,772097,Washingtonia,63
253491,772097,Palm,31
253474,772090,Washingtonia,63
253494,772055,Mulberry,34
253500,772049,Mulberry,34
253437,772045,Ficus carica,86
253440,772045,Washingtonia,64
253477,772023,Melia azedarach,73
253471,772062,Loquat,49
253466,772079,Mulberry,34
253463,772086,Guava,29
253466,772086,Avocado,9
253458,772101,Avocado,9
253450,772110,Loquat,50
253402,772106,Mulberry,35
253397,772119,Carob,35
253386,772130,Melia azedarach,72
253382,772130,Mulberry,35
253376,772128,Mulberry,35
253366,772125,Mulberry,35
253404,772099,Mulberry,35
253419,772086,Avocado,10
253424,772088,Ficus carica,87
253426,772090,Peach,2
253418,772108,Ficus carica,87
